company_name,experience_required,job_description,job_description_url,job_title,key_skills,location,posted_by,posted_on,salary
India-Data-Entry-Services,1-6 yrs,,https://www.naukri.com/job-listings-SEO-Analyst-India-Data-Entry-Services-Delhi-1-to-6-years-100418500460?src=jobsearchDesk&sid=1539017124571&xp=38&px=10,SEO Analyst,"SEO Analyst, HTML, Link building, Monitoring, Off-page optimization...",Delhi,,2018-08-10,Not disclosed
Data Outsourcing India,2-7 yrs,,https://www.naukri.com/job-listings-SEO-Analyst-Data-Outsourcing-India-Delhi-2-to-7-years-070918500658?src=jobsearchDesk&sid=1539017124571&xp=39&px=10,SEO Analyst,"HTML, Internet marketing, Monitoring, Link building, Off-page optimization,...",Delhi,,2018-09-07,Not disclosed
DS Smith Plc,3-5 yrs,,https://www.naukri.com/job-listings-TMS-Data-POS-Analyst-DS-Smith-Plc-Gurgaon-3-to-5-years-060516500456?src=jobsearchDesk&sid=1539017124571&xp=40&px=10,TMS Data/ POS Analyst,TMS Data/ POS Analyst,Gurgaon,,2018-08-10,Not disclosed
Data Outsourcing India.,1-2 yrs,,https://www.naukri.com/job-listings-SEO-Analyst-Data-Outsourcing-India-Delhi-1-to-2-years-050216501345?src=jobsearchDesk&sid=1539017124571&xp=41&px=10,SEO Analyst,"seo, monitoring, link building, html, optimization, f page optimization...",Delhi,,2018-08-10,Not disclosed
Data Outsourcing India,1-2 yrs,,https://www.naukri.com/job-listings-SEO-Analyst-Data-Outsourcing-India-Delhi-1-to-2-years-030216503098?src=jobsearchDesk&sid=1539017124571&xp=42&px=10,SEO Analyst,"seo, monitoring, link building, html, optimization, link...",Delhi,,2018-08-10,Not disclosed
Data Outsourcing India,1-2 yrs,,https://www.naukri.com/job-listings-SEO-Analyst-Data-Outsourcing-India-Delhi-NCR-1-to-2-years-010615500196?src=jobsearchDesk&sid=1539017124571&xp=43&px=10,SEO Analyst,SEO Analyst,Delhi NCR,,2018-08-10,Not disclosed
Bharat Insecticides Limited,3-8 yrs,,https://www.naukri.com/job-listings-EA-to-VP-Sales-Bharat-Insecticides-Limited-Delhi-3-to-8-years-260618600948?src=jobsearchDesk&sid=1539017124571&xp=44&px=10,EA to VP - Sales,"ea to vp, Executive assistant to VP, Executive Assistant...",Delhi,HR Dept,2018-08-10,Not disclosed
Bharat Insecticides Limited,1-6 yrs,,https://www.naukri.com/job-listings-Admin-Officer-Bharat-Insecticides-Limited-Delhi-1-to-6-years-230618600062?src=jobsearchDesk&sid=1539017124571&xp=45&px=10,Admin Officer,"ea to vp, Executive assistant to VP, Executive Assistant...",Delhi,HR Dept,2018-08-10,Not disclosed
Diverse Lynx India Pvt. Ltd,4-6 yrs,,https://www.naukri.com/job-listings-Business-Analyst-Diverse-Lynx-India-Pvt-Ltd-Noida-4-to-6-years-031018502274?src=jobsearchDesk&sid=1539017124571&xp=46&px=10,Business Analyst,"Test case preparation, Functional testing, MS Office, Data management...",Noida,,2018-10-03,Not disclosed
Sourcing Valley,0-5 yrs,,https://www.naukri.com/job-listings-Opening-In-Data-analyst-Profile-For-Fresher-Or-Experience-In-B2B-Proce-Sourcing-Valley-Delhi-NCR-Delhi-Noida-Gurgaon-Faridabad-Ghaziabad-0-to-5-years-270718600007?src=jobsearchDesk&sid=1539017124571&xp=47&px=10,Opening In Data analyst Profile For Fresher Or Experience In B2B Proce,"data analysis, international call center, genpact, ntt data, convergys, day...","Delhi NCR, Delhi, Noida, Gurgaon, Faridabad, Ghaziabad",Mrinal,2018-08-10,"1,00,000 - 3,00,000 P.A."
